"","Mice","Number","Mouse_ID","Strain","sex","DOB","parents","Western_Diet","Sac_Date","weight_g","length_cm","ab_fat","other_fat","total_fat","comments","100xfat_weight","Trigly","Total_Chol","HDL_Chol","UC","FFA","Glucose","LDL_plus_VLDL","MCP_1_phys","Insulin_ug_l","Glucose_Insulin","Leptin_pg_ml","Adiponectin","Aortic lesions","Note","Aneurysm","Aortic_cal_M","Aortic_cal_L","CoronaryArtery_Cal","Myocardial_cal","BMD_all_limbs","BMD_femurs_only"
"26","F2_315",315,"341-3","BxH ApoE-/-, F2",1,2002-04-16,228,2002-07-24,2002-11-13,54.4,11.1,0.38,2.32,2.7,NA,4.96323529411765,113,2154,42,850,187,652,2112,NA,9267,0.0703571813963527,122113.22,9.287,"252500",NA,24,11,0,0,51,0.0631,0.0896
"27","F2_316",316,"342-1","BxH ApoE-/-, F2",1,2002-04-16,228,2002-07-24,2002-11-13,52.7,11.1,1.09,1.61,2.7,NA,5.12333965844402,129,1198,74,378,90,322,1124,143.21,6224,0.0517352185089974,62457.86,3.113,"294500",NA,28,14,1,0,1,0.0607,0.0874
"28","F2_259",259,"295-3","BxH ApoE-/-, F2",1,2002-03-19,231,2002-05-14,2002-09-05,43.8,10.1,1.04,1.46,2.5,NA,5.70776255707763,81,1441,50,570,157,577,1391,95.604,2338,0.246792130025663,52053.52,1.852,"309750",NA,37,14,0,0,3,0.0555,0.074
"29","F2_260",260,"295-4","BxH ApoE-/-, F2",1,2002-03-19,231,2002-05-14,2002-09-05,33.6,9.9,1.88,1.55,3.43,NA,10.2083333333333,40,1175,25,468,108,460,1150,125.388,1208,0.380794701986755,61221.66,4.803,"202500",NA,18,1,0,0,0,0.0534,0.0775
"30","F2_261",261,"297-1","BxH ApoE-/-, F2",2,2002-03-19,235,2002-05-14,2002-09-05,39.6,10.3,2.9,2.3,5.2,NA,13.1313131313131,23,1583,45,569,103,475,1538,117.62,1108,0.42870036101083,89290.54,7.056,"214750",NA,0,0,0,0,0,0.0567,0.0785
"31","F2_262",262,"297-2","BxH ApoE-/-, F2",2,2002-03-19,235,2002-05-14,2002-09-05,41.8,10.1,3.95,2.45,6.4,NA,15.311004784689,95,1630,36,713,192,649,1594,81.874,2793,0.232366630862871,178225.18,7.681,"302500",NA,36,4,0,0,0,0.0523,0.07635
"32","F2_263",263,"297-3","BxH ApoE-/-, F2",2,2002-03-19,235,2002-05-14,2002-09-10,36,10.1,2.6,2,4.6,NA,12.7777777777778,29,1611,25,730,158,519,1586,96.884,NA,NA,NA,NA,"326750",NA,52,10,0,33,85,0.0547,0.0801
"33","F2_264",264,"297-4","BxH ApoE-/-, F2",2,2002-03-19,235,2002-05-14,2002-09-10,41.6,10.4,3.04,2.54,5.58,NA,13.4134615384615,94,1397,38,495,113,453,1359,198.228,1529,0.296272073250491,137452.5,2.705,"86666",NA,0,0,0,0,0,0.0497,0.07765
"34","F2_265",265,"298-1","BxH ApoE-/-, F2",1,2002-03-19,235,2002-05-14,2002-09-10,47.1,10.5,1.47,2.31,3.78,NA,8.02547770700637,881,1502,43,552,146,524,1459,92.142,11469,0.0456883773650711,79101.92,2.541,"195500",NA,0,0,0,0,17,0.0564,0.08335
"35","F2_266",266,"298-2","BxH ApoE-/-, F2",1,2002-03-19,235,2002-05-14,2002-09-10,53.2,10.7,0.83,2.08,2.91,NA,5.46992481203008,120,1688,42,777,171,604,1646,200.902,14028,0.043056743655546,113769.74,1.885,"240250",0.85,6,0,8,0,5,0.0609,0.0862
"36","F2_267",267,"298-3","BxH ApoE-/-, F2",1,2002-03-19,235,2002-05-14,2002-09-10,48.9,10.5,1.23,1.94,3.17,NA,6.48261758691207,102,1299,41,451,108,442,1258,219.984,5525,0.08,77288.6,7.013,"157000",NA,19,4,0,0,0,0.0599,0.08685
"37","F2_268",268,"298-4","BxH ApoE-/-, F2",1,2002-03-19,235,2002-05-14,2002-09-10,48,10.9,1.13,2.15,3.28,NA,6.83333333333333,106,1463,45,527,132,456,1418,208.364,14700,0.0310204081632653,72941.86,12.595,"236250",NA,15,4,0,0,0,0.0618,0.0901
"38","F2_269",269,"299-1","BxH ApoE-/-, F2",2,2002-03-19,NA,2002-05-14,2002-09-10,42.3,10.3,NA,3.13,NA,NA,NA,68,848,38,278,83,311,810,75.544,1159,0.268334771354616,155588.32,10.054,"120750",NA,0,0,0,0,5,0.056,0.0801
"39","F2_270",270,"299-2","BxH ApoE-/-, F2",2,2002-03-19,NA,2002-05-14,2002-09-10,45.2,10.2,3.66,2.72,6.38,NA,14.1150442477876,82,1065,31,415,125,509,1034,98.758,1979,0.257200606366852,223565.8,13.319,"151250",NA,0,0,0,0,0,0.0573,0.08735
"40","F2_271",271,"299-3","BxH ApoE-/-, F2",2,2002-03-19,NA,2002-05-14,2002-09-10,42.3,10,1.58,2.39,3.97,NA,9.3853427895981,105,1315,27,516,118,499,1288,172.894,6357,0.0784961459808086,134703.24,30.82,"267500",NA,15,0,4,0,2,0.0584,0.0831
"41","F2_272",272,"299-4","BxH ApoE-/-, F2",2,2002-03-19,NA,2002-05-14,2002-09-10,39.6,10,1.82,2.55,4.37,NA,11.0353535353535,130,1087,45,410,134,484,1042,NA,2545,0.190176817288802,92320.54,10.364,"189500",NA,0,0,56,0,1,0.0578,0.08355
"42","F2_273",273,"302-1","BxH ApoE-/-, F2",1,2002-03-22,228,2002-05-14,2002-09-10,50.4,10.8,0.98,2.84,3.82,NA,7.57936507936508,79,1408,43,509,106,387,1365,NA,7012,0.0551911009697661,145655.18,14.064,"146750",NA,5,0,0,0,0,0.0551,0.08065
"43","F2_274",274,"302-2","BxH ApoE-/-, F2",1,2002-03-22,228,2002-05-14,2002-09-10,49.4,11,0.91,1.71,2.62,NA,5.30364372469636,502,2135,49,910,227,819,2086,154.504,18663,0.0438836199967851,100817.24,5.095,"147250",NA,34,23,0,1,0,0.0539,0.08545
"44","F2_275",275,"302-3","BxH ApoE-/-, F2",1,2002-03-22,228,2002-05-14,2002-09-10,50.4,10.5,0.86,2.51,3.37,NA,6.68650793650794,96,1485,61,475,99,417,1424,247.144,8876,0.0469806219017576,114446.02,5.013,"138250",NA,4,0,8,0,1,0.0627,0.08905
"45","F2_276",276,"302-4","BxH ApoE-/-, F2",1,2002-03-22,228,2002-05-14,2002-09-10,54.1,11.1,1.3,2.87,4.17,NA,7.70794824399261,254,1649,52,729,214,548,1597,209.42,3781,0.144935202327427,76213.66,6.706,"99642",NA,0,0,0,0,0,0.0575,0.06835
"46","F2_277",277,"303-1","BxH ApoE-/-, F2",2,2002-03-22,228,2002-05-14,2002-09-10,33.8,10.1,2,2.2,4.2,NA,12.4260355029586,97,1148,34,462,145,460,1114,115.554,878,0.523917995444191,68390.14,12.998,"86250",NA,0,0,0,5,0,0.0484,0.0845
"47","F2_278",278,"303-2","BxH ApoE-/-, F2",2,2002-03-22,228,2002-05-14,2002-09-10,44.4,10.7,2.81,2.78,5.59,NA,12.5900900900901,80,1100,37,508,147,558,1063,132.598,5091,0.109605185621685,109518.16,10.423,"325750",NA,55,0,15,0,0,0.0552,0.08465
"48","F2_279",279,"304-1","BxH ApoE-/-, F2",1,2002-03-22,228229,2002-05-14,2002-09-10,44.8,10.5,2.05,2.25,4.3,NA,9.5982142857143,95,1195,35,527,151,457,1160,124.23,1902,0.240273396424816,29163.56,6.147,"58250",NA,5,5,0,NA,3134,0.063,0.0899
"49","F2_280",280,"304-2","BxH ApoE-/-, F2",1,2002-03-22,228229,2002-05-14,2002-09-10,50.7,10.4,1.17,2.74,3.91,NA,7.7120315581854,104,1509,44,674,185,601,1465,164.584,7065,0.0850672328379335,61331.2,5.666,"208250",NA,8,5,0,0,1,0.0599,0.0819
"50","F2_281",281,"304-3","BxH ApoE-/-, F2",1,2002-03-22,228229,2002-05-14,2002-09-10,41.8,10.5,1.54,2.18,3.72,NA,8.89952153110048,110,1290,33,583,188,562,1257,77.95,2397,0.234459741343346,60631.36,7.497,"135000",NA,71,7,0,0,0,0.0614,0.08595
"51","F2_282",282,"304-4","BxH ApoE-/-, F2",1,2002-03-22,228229,2002-05-14,2002-09-10,52.3,10.5,NA,2.86,NA,NA,NA,149,1575,35,697,201,639,1540,NA,13852,0.0461305226682068,219146.4,5.993,"99250",NA,2,2,0,0,0,0.0504,0.07555
"52","F2_283",283,"305-1","BxH ApoE-/-, F2",1,2002-03-22,229,2002-05-14,2002-09-11,46.4,10.6,2.12,2.18,4.3,NA,9.26724137931035,80,1017,60,328,82,378,957,NA,1864,0.202789699570815,74333.98,8.103,NA,NA,NA,NA,NA,0,0,0.0537,0.0806
"53","F2_284",284,"305-2","BxH ApoE-/-, F2",1,2002-03-22,229,2002-05-14,2002-09-11,53.8,10.5,1.19,2.47,3.66,NA,6.80297397769517,54,1160,41,463,93,457,1119,337.988,18663,0.0244869527942989,183042.18,8.44,"343500",NA,57,0,0,0,0,0.0605,0.08795
"54","F2_285",285,"305-3","BxH ApoE-/-, F2",1,2002-03-22,229,2002-05-14,2002-09-11,43.9,10.3,0.76,1.87,2.63,NA,5.99088838268793,14,1431,25,612,120,528,1406,260.088,2273,0.232292124945007,58219.54,NA,"204500",NA,0,0,0,7,5,0.0609,0.0879
"55","F2_286",286,"305-4","BxH ApoE-/-, F2",1,2002-03-22,229,2002-05-14,2002-09-11,49,10.5,2.03,2.45,4.48,NA,9.14285714285714,126,1166,48,456,127,515,1118,187.532,6701,0.0768542008655425,86234.3,5.978,"72500",NA,44,0,0,0,1,NA,NA
"56","F2_287",287,"306-1","BxH ApoE-/-, F2",2,2002-03-22,229232,2002-05-14,2002-09-11,43.9,10.2,2.85,2.35,5.2,NA,11.8451025056948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"179500",NA,27,0,13,0,0,NA,NA
"57","F2_231",231,"288-3","BxH ApoE-/-, F2",1,2002-03-19,230,2002-05-14,2002-09-04,47.4,10.3,0.94,2.26,3.2,NA,6.75105485232068,120,957,44,311,68,242,913,98.936,4489,0.0539095566941412,48414.96,2.219,"95500",NA,0,0,0,0,0,0.0543,0.07845
"58","F2_232",232,"288-4","BxH ApoE-/-, F2",1,2002-03-19,230,2002-05-14,2002-09-04,45.7,10.3,1.92,2.19,4.11,NA,8.99343544857768,97,1550,75,547,124,532,1475,65.816,7560,0.0703703703703704,74982.22,2.672,"200313",NA,12,0,3,2,8,NA,NA
"59","F2_233",233,"289-1","BxH ApoE-/-, F2",1,2002-03-19,230227,2002-05-14,2002-09-04,50.4,10.6,1.17,2.57,3.74,NA,7.42063492063492,142,1576,42,553,103,387,1534,130.426,8101,0.047771880014813,118817.56,2.494,"237250",NA,68,6,0,0,10,0.0566,0.08305
"60","F2_234",234,"289-2","BxH ApoE-/-, F2",1,2002-03-19,230227,2002-05-14,2002-09-04,47.8,10.2,1.53,2.18,3.71,NA,7.76150627615063,60,1172,42,416,83,336,1130,146.35,6165,0.0545012165450122,119135.34,5.564,"225500",NA,0,0,0,0,0,NA,NA
"61","F2_235",235,"289-3","BxH ApoE-/-, F2",1,2002-03-19,230227,2002-05-14,2002-09-04,47.9,10.5,2.16,3.15,5.31,NA,11.0855949895616,88,944,27,384,108,406,917,107.162,2098,0.193517635843661,64015.66,5.045,"314500",NA,27,16,0,0,0,0.0525,0.0722
"62","F2_236",236,"289-4","BxH ApoE-/-, F2",1,2002-03-19,230227,2002-05-14,2002-09-04,52.2,10.6,1.73,2.07,3.8,NA,7.27969348659004,109,1620,54,474,81,365,1566,147.466,4301,0.0848639851197396,64819.4,2.733,"238250",NA,59,5,0,NA,14,0.0578,0.0838
"63","F2_237",237,"290-1","BxH ApoE-/-, F2",1,2002-03-19,227,2002-05-14,2002-09-04,47.6,10.7,1.43,2.84,4.27,NA,8.97058823529412,143,1391,42,565,153,432,1349,172.002,9725,0.0444215938303342,98144.3,1.07,"199750",NA,6,3,0,0,0,0.0542,0.07305
"64","F2_238",238,"290-2","BxH ApoE-/-, F2",1,2002-03-19,227,2002-05-14,2002-09-04,50.4,10.6,2.35,NA,NA,NA,NA,127,1044,38,433,137,514,1006,153.908,5387,0.0954148876925933,81968.48,3.212,"168500",NA,88,24,0,0,0,0.0573,0.07685
"65","F2_239",239,"290-3","BxH ApoE-/-, F2",1,2002-03-19,227,2002-05-14,2002-09-04,54.2,10.7,1.72,2.51,4.23,NA,7.80442804428044,183,1385,40,593,151,484,1345,115.684,3087,0.156786524133463,140524.12,3.814,"144000",NA,10,9,0,0,0,0.0547,0.078
"66","F2_240",240,"290-4","BxH ApoE-/-, F2",1,2002-03-19,227,2002-05-14,2002-09-04,47.1,10.3,2.47,2.87,5.34,NA,11.3375796178344,73,1357,42,472,99,450,1315,105.422,3195,0.140845070422535,116393.36,3.686,"248750",NA,32,0,0,0,0,NA,NA
"67","F2_241",241,"291-1","BxH ApoE-/-, F2",2,2002-03-19,227,2002-05-14,2002-09-04,36.7,9.8,2.48,2.49,4.97,NA,13.5422343324251,58,864,39,310,86,318,825,91.794,429,0.741258741258741,78226.18,1.913,"238500",NA,15,1,0,4,11,0.0578,0.08215
"68","F2_242",242,"291-2","BxH ApoE-/-, F2",2,2002-03-19,227,2002-05-14,2002-09-04,38.9,9.9,2.91,1.79,4.7,NA,12.0822622107969,73,808,29,304,91,413,779,113.194,869,0.475258918296893,60695.08,5.264,"272750",NA,1,0,0,0,0,0.0563,0.0818
"69","F2_243",243,"291-3","BxH ApoE-/-, F2",2,2002-03-19,227,2002-05-14,2002-09-04,43.9,10.2,4.26,2.97,7.23,"spleenomegally",16.4692482915718,82,817,23,356,97,439,794,145.356,1075,0.408372093023256,114589.3,1.604,"3230750",NA,60,11,0,2,0,0.0529,0.0778
"70","F2_244",244,"291-4","BxH ApoE-/-, F2",2,2002-03-19,227,2002-05-14,2002-09-04,32.8,9.9,1.33,1.95,3.28,NA,10,34,794,19,304,86,313,775,86.896,486,0.6440329218107,58257.08,6.44,"318000",NA,0,0,0,0,0,0.0513,0.069
"71","F2_245",245,"292-1","BxH ApoE-/-, F2",2,2002-03-19,227110,2002-05-14,2002-09-05,42.7,10.4,2.35,2.43,4.78,NA,11.1943793911007,168,1104,33,521,149,537,1071,92.322,2708,0.198301329394387,101521.2,6.81,"116750",NA,0,0,2,1,6,0.0567,0.08145
"72","F2_246",246,"292-2","BxH ApoE-/-, F2",2,2002-03-19,227110,2002-05-14,2002-09-05,47.4,10.4,3.58,3.28,6.86,NA,14.4725738396624,84,1223,17,518,129,525,1206,182.59,2229,0.235531628532974,178556.08,5.065,"256500",NA,0,0,6,0,0,0.0541,0.0756
"73","F2_247",247,"292-3","BxH ApoE-/-, F2",2,2002-03-19,227110,2002-05-14,2002-09-05,40.9,10.3,2.93,2.26,5.19,NA,12.6894865525672,70,1312,27,499,120,483,1285,123.872,615,0.785365853658537,100521.46,5.493,"258750",NA,0,0,0,0,0,0.0563,0.07925
"74","F2_248",248,"292-4","BxH ApoE-/-, F2",2,2002-03-19,227110,2002-05-14,2002-09-05,30.7,9.8,1.46,1.45,2.91,NA,9.47882736156352,41,1044,25,381,83,458,1019,172.614,422,1.08530805687204,138369.52,11.313,"184250",NA,0,0,0,2,3,0.0516,0.07045
"75","F2_249",249,"293-1","BxH ApoE-/-, F2",1,2002-03-19,110,2002-05-14,2002-09-05,48.4,10.6,0.71,1.5,2.21,"slightly large spleen",4.56611570247934,230,1345,44,608,158,529,1301,108.386,9539,0.0554565468078415,69416.42,1.593,"113250",NA,0,0,0,0,0,0.0572,0.0818
"76","F2_250",250,"293-2","BxH ApoE-/-, F2",1,2002-03-19,110,2002-05-14,2002-09-05,45.4,10.2,1.16,2.2,3.36,NA,7.40088105726872,50,1299,57,440,102,415,1242,97.044,3039,0.136558078315235,54889.66,1.55,"340250",NA,25,0,4,0,0,0.0565,0.08355
"77","F2_251",251,"293-3","BxH ApoE-/-, F2",1,2002-03-19,110,2002-05-14,2002-09-05,40.9,10.4,1.05,1.57,2.62,NA,6.40586797066015,46,1151,50,408,96,375,1101,85.164,1439,0.260597637248089,79146.38,4.233,"139000",NA,18,1,0,0,0,0.0549,0.07575
"78","F2_252",252,"294-1","BxH ApoE-/-, F2",1,2002-03-19,110,2002-05-14,2002-09-05,46.8,10.5,1.57,1.65,3.22,"muscle switched w 253",6.88034188034188,161,1405,41,527,122,390,1364,218.648,3568,0.109304932735426,136032.8,3.551,"89500",NA,0,0,0,0,0,0.0556,0.07955
"79","F2_253",253,"294-2","BxH ApoE-/-, F2",1,2002-03-19,110,2002-05-14,2002-09-05,53,10.8,1.5,2.27,3.77,NA,7.11320754716981,74,1262,49,512,142,472,1213,143.552,5555,0.084968496849685,141321.52,2.812,"198000",NA,4,0,0,0,0,0.0571,0.08225
"80","F2_254",254,"294-3","BxH ApoE-/-, F2",1,2002-03-19,110,2002-05-14,2002-09-05,50.4,10.7,0.99,2.4,3.39,NA,6.72619047619048,98,1687,42,707,164,551,1645,180.634,9389,0.0586856960272659,107469.18,4.733,"101500",NA,0,0,3,2,10,0.0601,0.08845
"81","F2_255",255,"294-4","BxH ApoE-/-, F2",1,2002-03-19,110,2002-05-14,2002-09-05,57.3,10.8,1.21,2.05,3.26,NA,5.68935427574171,113,1409,37,541,140,503,1372,200.764,5766,0.0872355185570586,111905.96,1.392,"239250",NA,0,0,0,0,0,0.0616,0.08865
"82","F2_256",256,"294-5","BxH ApoE-/-, F2",1,2002-03-19,110,2002-05-14,2002-09-05,51.2,11,1.63,2.7,4.33,"enlarged thymus, slightly large spleen",8.45703125,95,927,58,374,115,387,869,158.414,821,0.471376370280146,76717.42,1.704,"82500",NA,0,0,3,0,0,0.0539,0.0778
"83","F2_257",257,"295-1","BxH ApoE-/-, F2",1,2002-03-19,231,2002-05-14,2002-09-05,34.3,9.6,0.58,1.15,1.73,NA,5.04373177842566,23,911,27,361,87,306,884,70.738,534,0.573033707865169,9945.14,2.747,"281750",NA,0,0,0,1,19,0.0559,0.0772
"84","F2_258",258,"295-2","BxH ApoE-/-, F2",1,2002-03-19,231,2002-05-14,2002-09-05,44.8,10.6,2,2.15,4.15,NA,9.26339285714286,99,848,68,262,71,347,780,64.698,563,0.616341030195382,34488.46,3.883,"79500",NA,0,0,0,0,1,0.0633,0.08955
"85","F2_40",40,"156-2","BxH ApoE-/-, F2",1,2001-11-15,111,2002-01-08,2002-04-30,45.4,10.2,1.09,2.11,3.2,"black coat, spleen&kidney from 40&41 may have been combined as 40",7.04845814977974,253,1466,66,486,119,452,1400,163.138,14472,0.031232725262576,72140,3.784,"34500",NA,5,0,0,0,1,NA,NA
"86","F2_41",41,"156-3","BxH ApoE-/-, F2",1,2001-11-15,111,2002-01-08,2002-04-30,52,10.4,1.58,2.21,3.79,NA,7.28846153846154,72,2141,49,797,150,675,2092,179.804,29699,0.0227280379810768,83160,7.319,"277250",NA,10,0,23,0,0,NA,NA
"87","F2_42",42,"157-1","BxH ApoE-/-, F2",2,2001-11-15,111,2002-01-08,2002-04-30,39.4,10.2,2.99,2.8,5.79,NA,14.6954314720812,233,1729,23,622,127,487,1706,111.21,1364,0.357038123167155,99220,14.531,"110000",NA,42,14,0,0,0,NA,NA
"88","F2_43",43,"157-2","BxH ApoE-/-, F2",2,2001-11-15,111,2002-01-08,2002-04-30,35.3,10.7,1.32,1.56,2.88,"black coat",8.1586402266289,77,1258,22,430,86,412,1236,92.86,1340,0.307462686567164,50500,9.735,"327250",NA,0,0,0,0,0,NA,NA
"89","F2_44",44,"157-3","BxH ApoE-/-, F2",2,2001-11-15,111,2002-01-08,2002-04-30,31.4,10,0.97,1.8,2.77,NA,8.8216560509554,126,1228,28,439,101,435,1200,58.116,1711,0.254237288135593,50300,15.358,"145500",NA,0,0,0,0,1,NA,NA
